strm,anonymized_emplid,acad_career,Anonymized_Crs_ID,crs_Campus,crs_Level,primary_section,MON,TUES,WED,THURS,FRI,SAT,SUN,Anonymized_Primary_Course_ID,Anonymized_Concurrent_Course_ID
1197,15176,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,26996,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,30018,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,33264,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,33471,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,33887,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,33932,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,34267,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,34302,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,34351,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,34443,GRAD,4089,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4089,NULL
1197,2395,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,3136,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,3879,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,5491,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,5777,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,15731,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,16620,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,20946,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,24671,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,25972,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,26425,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,27000,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,28631,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
1197,30018,GRAD,4090,Burnaby Campus,Graduate,1,0,0,1,0,1,0,0,4090,NULL
